,Country,GDI 2015,HDI 2013,suicides/100k male,suicides/100k female,Suicide Ratio (M/F)
0,Norway,0.996,0.944,15.055,6.113333333333333,2.462649945474373
1,Australia,0.976,0.931,17.616666666666667,5.513333333333333,3.19528415961306
2,Switzerland,0.95,0.946,22.116666666666664,6.260000000000001,3.533013844515441
3,Denmark,0.977,0.933,16.791666666666668,5.633333333333333,2.9807692307692317
4,Netherlands,0.947,0.93,14.965000000000002,5.956666666666667,2.512311135982093
5,Germany,0.963,0.935,19.646666666666665,5.866666666666667,3.348863636363636
6,Ireland,0.973,0.917,15.731666666666667,3.8366666666666656,4.100347523892268
7,United States,0.995,0.918,22.521666666666665,5.256666666666667,4.284400760938491
8,Canada,0.982,0.913,16.863333333333333,5.318333333333333,3.170792854904419
9,New Zealand,0.961,0.914,17.834999999999997,6.256666666666667,2.850559403303143
10,Singapore,0.985,0.921,16.338333333333335,6.640000000000001,2.4605923694779115
11,Sweden,0.999,0.933,18.83833333333333,7.528333333333333,2.502324551693602
12,United Kingdom,0.965,0.921,11.340000000000002,2.813333333333333,4.0308056872037925
13,Iceland,0.975,0.927,26.441666666666663,10.431666666666668,2.534749960057517
14,Israel,0.971,0.905,9.846666666666666,2.521666666666667,3.904824851288829
15,Luxembourg,0.971,0.9,9.461666666666666,5.785,1.6355517142033995
16,Japan,0.961,0.902,27.346666666666668,11.18,2.4460345855694694
17,Belgium,0.975,0.916,25.14833333333333,8.443333333333333,2.9784840110540856
18,France,0.987,0.889,25.33333333333333,6.721666666666667,3.768906521200099
19,Austria,0.943,0.905,28.105,7.248333333333334,3.877443090365601
20,Finland,0.996,0.928,25.22,7.585,3.324983520105471
21,Slovenia,0.996,0.893,39.27166666666667,7.898333333333333,4.972146022367588
22,Spain,0.975,0.882,13.181666666666668,3.705,3.557804768331084
23,Italy,0.964,0.881,11.398333333333332,2.745,4.152398299939284
24,Greece,0.961,0.867,7.44,1.745,4.263610315186247
25,Estonia,1.03,0.869,31.85166666666667,6.801666666666667,4.682920852732174
26,Cyprus,0.971,0.86,10.045,0.7233333333333333,13.88709677419355
27,Qatar,0.998,0.842,1.255,0.1166666666666666,10.75714285714286
28,Slovakia,0.999,0.845,21.235,2.75,7.721818181818182
29,Poland,1.007,0.856,27.405,3.86,7.099740932642487
30,Lithuania,1.03,0.847,62.055,12.038333333333334,5.1547833310258895
31,Malta,0.937,0.867,8.975,0.5616666666666666,15.979228486646884
32,Argentina,0.982,0.835,14.35,2.8866666666666667,4.971131639722864
33,Chile,0.967,0.826,18.871666666666663,3.5483333333333333,5.318459370596524
34,Portugal,0.985,0.84,18.026666666666667,4.095,4.402116402116403
35,Hungary,0.976,0.839,35.38166666666667,8.99,3.935669262143122
36,Bahrain,0.94,0.815,0.415,0.0,inf
37,Latvia,1.029,0.839,35.443333333333335,4.921666666666667,7.20149001015916
38,Croatia,0.987,0.83,28.81833333333333,6.2316666666666665,4.624498529018454
39,Kuwait,0.972,0.793,1.018333333333333,0.6283333333333333,1.620689655172414
40,Belarus,1.021,0.811,38.88,6.673333333333333,5.826173826173827
41,Russian Federation,1.019,0.802,38.568333333333335,7.093333333333334,5.437265037593985
42,Romania,0.989,0.808,19.676666666666662,3.3216666666666668,5.923733065730055
43,Uruguay,1.018,0.8,33.778333333333336,7.736666666666667,4.366006031882809
44,Kazakhstan,1.002,0.791,40.145,9.3,4.316666666666667
45,Barbados,1.018,0.807,0.0,0.0,
46,Bulgaria,0.991,0.801,18.205,4.155,4.381468110709988
47,Panama,0.996,0.791,7.37,0.8483333333333333,8.687622789783891
48,Mauritius,0.95,0.779,13.861666666666666,2.4166666666666665,5.735862068965518
49,Serbia,0.966,0.778,28.825,7.463333333333334,3.862215274676194
50,Cuba,0.954,0.766,25.96333333333333,5.78,4.491926182237601
51,Costa Rica,0.974,0.788,13.221666666666666,1.655,7.988922457200402
52,Turkey,0.902,0.785,4.461666666666667,1.4416666666666669,3.094797687861272
53,Mexico,0.943,0.756,9.118333333333334,1.7133333333333332,5.321984435797666
54,Brazil,0.997,0.753,9.975,2.26,4.413716814159292
55,Georgia,0.962,0.775,8.238333333333333,1.0233333333333332,8.050488599348535
56,Armenia,1.008,0.762,4.236666666666666,2.01,2.107794361525705
57,Ecuador,0.98,0.754,8.065,2.415,3.3395445134575565
58,Saint Lucia,0.991,0.732,18.348333333333333,0.6683333333333333,27.453865336658357
59,Thailand,1.0,0.734,10.523333333333332,2.736666666666667,3.84531059683313
60,Colombia,0.997,0.742,8.913333333333332,1.675,5.32139303482587
61,Belize,0.958,0.702,8.931666666666667,0.4683333333333333,19.0711743772242
62,Suriname,0.975,0.734,35.53,12.27,2.895680521597392
63,Paraguay,0.956,0.712,10.068333333333332,2.4966666666666666,4.032710280373832
64,Uzbekistan,0.945,0.692,9.145,3.9983333333333335,2.287203001250521
65,El Salvador,0.965,0.67,16.591666666666665,2.7516666666666665,6.029678982434888
66,South Africa,0.948,0.685,1.96,0.5233333333333333,3.745222929936306
67,Kyrgyzstan,0.961,0.68,14.258333333333333,4.048333333333333,3.5220255249073698
68,Guyana,0.984,0.666,47.67166666666666,11.725,4.065813788201847
69,Nicaragua,0.96,0.639,11.321666666666667,2.1733333333333333,5.209355828220859
70,Guatemala,0.949,0.621,5.383333333333333,1.3983333333333334,3.849821215733015
